key,value
Save,সংরক্ষণ করুন
Save and Next,সংরক্ষণ করুন এবং পরবর্তী ধাপে যান
FIR Verification,এফআইআর যাচাই
Candidate Name, প্রার্থীর নাম 
Check,পরীক্ষা করুন 
UAN Verification, ইউএএন যাচাই
Universal Account Number(UAN),ইউনিভার্সাল অ্যাকাউন্ট নম্বর (ইউএএন)
UAN Verification,ইউএএন যাচাই
Automatic,স্বয়ংক্রিয় 
Manual,ম্যানুয়াল 
Submit, জমা দিন
Please upload your EPFO passbook,অনুগ্রহ করে আপনার EPFO পাসবুক আপলোড করুন।
Please upload your EPFO Service History,অনুগ্রহ করে আপনার EPFO পরিষেবা ইতিহাস আপলোড করুন।
Fetch N Verify UAN,ইউএএন আনুন এবং যাচাই করুন।
UAN Aadhar Link,ইউএএন আধার লিংক
Document Details,নথির বিবরণ
Candidate ID,প্রার্থী আইডি
Aadhaar Name,আধারে থাকা নাম
Aadhaar Number,আধার নম্বর 
UAN,ইউএএন
Aadhaar-UAN Link,আধার-ইউএএন লিংক
Trust PF, ট্রাস্ট পিএফ
Trust PF File,ট্রাস্ট পিএফ ফাইল 
EPFO Passbook File,ইপিএফও পাসবুক ফাইল
EPFO Service History,ইপিএফও পরিষেবা ইতিহাস
International Worker,আন্তর্জাতিক কর্মী
Country of Origin,উৎপত্তির দেশ
Passport Number,পাসপোর্ট নম্বর
Passport Details,পাসপোর্ট বিবরণ
Passport Issue Date,পাসপোর্ট ইস্যু তারিখ 
Passport Expiry Date,পাসপোর্ট মেয়াদ শেষের তারিখ 
Passport File,পাসপোর্ট ফাইল
Passport Available,পাসপোর্ট উপলব্ধ
Driving License Details,ড্রাইভিং লাইসেন্স বিবরণ
Driving License Available,ড্রাইভিং লাইসেন্স উপলব্ধ
Driving License Number,ড্রাইভিং লাইসেন্স নম্বর
FIR Details, এফআইআর বিবরণ 
See FIR Details,এফআইআর বিবরণ দেখুন
Personal Information,ব্যক্তিগত তথ্য
AADHAAR Verified,আধার যাচাই করা হয়েছে 
Gender,লিঙ্গ 
Relationship with Member, সদস্যের সাথে সম্পর্ক
Physically Handicap,শারীরিকভাবে প্রতিবন্ধী 
Handicap Certificate,প্রতিবন্ধী সার্টিফিকেট
Date of Joining, যোগদানের তারিখ
Bank Details, ব্যাংক বিবরণ 
View Remarks / Issues,মন্তব্য / সমস্যাগুলি দেখুন 
Activity Log,কার্যকলাপ বিবরণ
Status,অবস্থা 
Other Information,অন্যান্য তথ্য
View Files,ফাইলগুলি দেখুন
No file available,কোনও ফাইল উপলব্ধ নেই 
Appointee Details,ব্যক্তির বিবরণ
Passport File Number,পাসপোর্ট ফাইল নম্বর
